estimate_year,index,TX_085,TX_113,TX_121,TX_139,TX_221,TX_231,TX_251,TX_257,TX_367,TX_397,TX_425,TX_439,TX_497
2005-2009,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2005-2009,FILETYPE,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5
2005-2009,STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx
2005-2009,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000
2005-2009,SEQUENCE,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011
2005-2009,LOGRECNO,0000055,0000069,0000073,0000082,0000123,0000128,0000138,0000141,0000196,0000211,0000225,0000232,0000261
2005-2009,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050
2005-2009,STATE_FIPS,48,48,48,48,48,48,48,48,48,48,48,48,48
2005-2009,GEO_ID,05000US48085,05000US48113,05000US48121,05000US48139,05000US48221,05000US48231,05000US48251,05000US48257,05000US48367,05000US48397,05000US48425,05000US48439,05000US48497
2005-2009,GEO_NAME,"Collin County, Texas","Dallas County, Texas","Denton County, Texas","Ellis County, Texas","Hood County, Texas","Hunt County, Texas","Johnson County, Texas","Kaufman County, Texas","Parker County, Texas","Rockwall County, Texas","Somervell County, Texas","Tarrant County, Texas","Wise County, Texas"
2005-2009,B01003_1_total,729514,2383126,611842,142348,49360,82204,150077,95993,108324,72814,7730,1704943,57615
2005-2009,B01001_1_total,729514,2383126,611842,142348,49360,82204,150077,95993,108324,72814,7730,1704943,57615
2005-2009,B01001_2_male,365870,1205863,305380,71040,24297,41008,75153,47787,55056,36279,3746,849681,29118
2005-2009,B01001_3_under_5_years,29781,110527,25021,5704,1609,2964,5456,3808,3415,2771,282,74954,1963
2005-2009,B01001_4_5_to_9_years,30708,92352,24698,6084,1194,2963,6041,3969,4092,3471,358,69315,2025
2005-2009,B01001_5_10_to_14_years,29239,88781,23084,5772,1777,2799,5795,4157,4204,2914,289,64423,2216
2005-2009,B01001_6_15_to_17_years,15870,51982,13055,3669,1021,1846,3579,2315,2813,1773,232,38011,1453
2005-2009,B01001_7_18_and_19_years,8231,33611,8015,2230,735,1248,2211,1350,1573,991,98,22581,895
2005-2009,B01001_8_20_years,4563,18586,4998,1182,163,667,1054,551,981,505,109,11974,478
2005-2009,B01001_9_21_years,4498,17488,4251,940,345,627,933,683,726,502,30,12258,379
2005-2009,B01001_10_22_to_24_years,10895,56305,11831,2625,854,1850,2864,1699,1959,894,64,35434,1095
2005-2009,B01001_11_25_to_29_years,25521,115174,26990,4694,1236,2954,5015,3229,3426,2218,180,71200,1747
2005-2009,B01001_12_30_to_34_years,30495,104666,27081,4582,1036,2428,4751,3192,3138,2674,179,65360,1751
2005-2009,B01001_13_35_to_39_years,33648,94207,26872,5110,1277,2828,5287,3601,3710,2977,228,66119,2154
2005-2009,B01001_14_40_to_44_years,33719,90706,25748,5213,1770,2849,6105,3669,4409,2796,218,64626,2238
2005-2009,B01001_15_45_to_49_years,29930,84320,23854,5418,1842,2951,5973,3619,4613,3091,241,64321,2427
2005-2009,B01001_16_50_to_54_years,23088,69747,18677,4944,1766,2835,5249,3266,4010,2397,282,53767,2041
2005-2009,B01001_17_55_to_59_years,18082,54164,14318,4063,1650,2381,4454,2940,3643,1602,250,43075,1754
2005-2009,B01001_18_60_and_61_years,6605,18066,4922,1567,798,874,1478,735,1296,772,121,14416,659
2005-2009,B01001_19_62_to_64_years,7408,22727,6090,1473,898,1177,1950,1068,1540,1164,54,16771,847
2005-2009,B01001_20_65_and_66_years,4752,12167,3146,887,605,756,1285,692,1033,568,54,9948,441
2005-2009,B01001_21_67_to_69_years,4487,15474,3334,1033,941,896,1321,1002,1070,466,112,11674,526
2005-2009,B01001_22_70_to_74_years,6557,20316,4254,1749,1092,1376,1811,894,1401,714,139,14948,924
2005-2009,B01001_23_75_to_79_years,3826,15507,2474,1077,1012,918,1295,655,1058,482,119,12019,653
2005-2009,B01001_24_80_to_84_years,2528,10989,1594,627,420,391,822,447,474,337,61,6792,238
2005-2009,B01001_25_85_years_and_over,1439,8001,1073,397,256,430,424,246,472,200,46,5695,214
2005-2009,B01001_26_female,363644,1177263,306462,71308,25063,41196,74924,48206,53268,36535,3984,855262,28497
2005-2009,B01001_27_under_5_years,28070,105603,23675,5464,1408,2754,5345,3722,3283,2764,284,71479,1806
2005-2009,B01001_28_5_to_9_years,29935,89568,23773,5392,1696,2453,5320,4008,3429,3009,163,63502,2301
2005-2009,B01001_29_10_to_14_years,27097,83445,21821,5810,1181,3056,5832,3589,4142,3044,475,64263,1919
2005-2009,B01001_30_15_to_17_years,15152,48977,12504,3535,1084,1777,3613,2224,2568,1771,245,36651,1460
2005-2009,B01001_31_18_and_19_years,7399,30200,8523,2022,510,1179,1942,1432,1698,879,161,21460,687
2005-2009,B01001_32_20_years,3747,16438,4989,987,267,867,854,651,468,371,8,11887,244
2005-2009,B01001_33_21_years,2936,14755,4627,977,180,499,833,567,897,235,26,10645,272
2005-2009,B01001_34_22_to_24_years,12169,50414,11199,2601,785,1551,2735,1321,1509,1225,46,34647,1097
2005-2009,B01001_35_25_to_29_years,24850,99267,27955,4315,1092,2614,4657,2938,2788,1989,135,68292,1606
2005-2009,B01001_36_30_to_34_years,30682,94861,26669,4387,1127,2306,4730,3268,2781,2472,208,63769,1412
2005-2009,B01001_37_35_to_39_years,34541,87212,27102,5178,1257,2819,5178,3797,3923,2945,281,63635,2065
2005-2009,B01001_38_40_to_44_years,32420,82306,25010,5220,1645,2707,5798,3598,4072,3118,254,64100,2386
2005-2009,B01001_39_45_to_49_years,29495,80527,23792,5611,1933,3085,5932,3622,4588,3161,267,62838,2312
2005-2009,B01001_40_50_to_54_years,23252,70925,18731,4921,1886,2870,5084,3299,4245,2434,329,54987,2029
2005-2009,B01001_41_55_to_59_years,19305,58431,15084,4259,2040,2627,4731,3068,3619,1768,222,43950,1906
2005-2009,B01001_42_60_and_61_years,6393,20778,5116,1252,782,747,1383,954,1269,776,110,16215,623
2005-2009,B01001_43_62_to_64_years,7208,25195,5857,1673,1052,1384,2065,1080,1412,889,109,18365,820
2005-2009,B01001_44_65_and_66_years,4947,14548,2980,1012,761,722,1077,939,906,560,16,10917,599
2005-2009,B01001_45_67_to_69_years,5568,18145,4135,1336,924,923,1605,807,995,453,104,13200,736
2005-2009,B01001_46_70_to_74_years,5987,25753,4317,1680,1198,1518,2233,977,1676,922,172,18226,595
2005-2009,B01001_47_75_to_79_years,4379,22375,3210,1603,950,891,1289,1045,1348,695,117,16301,624
2005-2009,B01001_48_80_to_84_years,3918,19665,2990,1169,719,779,1157,716,732,456,208,13107,465
2005-2009,B01001_49_85_years_and_over,4194,17875,2403,904,586,1068,1531,584,920,599,44,12826,533
2005-2009,B02001_1_total,729514,2383126,611842,142348,49360,82204,150077,95993,108324,72814,7730,1704943,57615
2005-2009,B02001_2_white_alone,564396,1402985,484887,112057,44446,69404,135597,78681,99047,60662,6687,1176531,52189
2005-2009,B02001_3_black_or_african_american_alone,54067,481263,45265,13326,313,7381,5283,10118,2346,4239,24,235304,763
2005-2009,B02001_4_american_indian_and_alaska_native_alone,3422,11969,2310,1614,417,448,1174,485,586,477,31,8291,465
2005-2009,B02001_5_asian_alone,71275,107797,33761,909,263,606,1080,735,555,1752,0,72344,271
2005-2009,B02001_6_native_hawaiian_and_other_pacific_islander_alone,545,1910,413,91,0,204,245,81,0,169,0,3166,98
2005-2009,B02001_7_some_other_race_alone,20915,330187,22837,11918,3252,3010,4472,4004,3543,4615,930,174259,2643
2005-2009,B02001_8_two_or_more_races,14894,47015,22369,2433,669,1151,2226,1889,2247,900,58,35048,1186
2005-2009,B02001_9_two_races_including_some_other_race,4283,15854,3727,754,194,185,655,609,531,159,0,9729,273
2005-2009,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",10611,31161,18642,1679,475,966,1571,1280,1716,741,58,25319,913
2005-2009,B11001_1_total,255800,832734,202351,46407,17493,29273,48389,28415,35055,23113,2602,605708,18149
2005-2009,B11001_2_family_households,185887,545421,142249,36722,12713,20270,37081,22595,26925,19100,1743,418156,14036
2005-2009,B11001_3_married-couple_family,153992,371918,113312,29114,10599,15629,29202,17445,21799,16047,1477,309188,11572
2005-2009,B11001_4_other_family,31895,173503,28937,7608,2114,4641,7879,5150,5126,3053,266,108968,2464
2005-2009,"B11001_5_male_householder,_no_wife_present",9818,48429,8643,2096,675,1257,2688,1351,1585,863,41,29491,775
2005-2009,"B11001_6_female_householder,_no_husband_present",22077,125074,20294,5512,1439,3384,5191,3799,3541,2190,225,79477,1689
2005-2009,B11001_7_nonfamily_households,69913,287313,60102,9685,4780,9003,11308,5820,8130,4013,859,187552,4113
2005-2009,B11001_8_householder_living_alone,58245,239660,47154,8145,4078,7409,9256,5039,6920,3124,769,156075,3539
2005-2009,B11001_9_householder_not_living_alone,11668,47653,12948,1540,702,1594,2052,781,1210,889,90,31477,574
2005-2009,B15002_1_total,469224,1474094,385778,87354,34551,53104,95670,59947,70567,45695,4860,1061459,37325
2005-2009,B15002_2_male,232085,736231,190427,42834,16599,26044,47220,29255,35293,22458,2284,520731,18614
2005-2009,B15002_3_no_schooling_completed,1207,16027,1561,718,219,290,559,265,256,117,0,6744,221
2005-2009,B15002_4_nursery_to_4th_grade,1081,18248,653,441,119,286,541,589,412,178,0,6504,337
2005-2009,B15002_5_5th_and_6th_grade,4214,47327,3426,1209,316,652,1020,746,436,463,14,18996,632
2005-2009,B15002_6_7th_and_8th_grade,3093,23582,2616,988,291,883,1322,810,660,415,111,9750,442
2005-2009,B15002_7_9th_grade,2653,38506,4194,1442,218,916,1420,1079,796,261,49,15084,606
2005-2009,B15002_8_10th_grade,1929,20002,2683,1160,560,1057,1628,1062,1545,268,7,10867,765
2005-2009,B15002_9_11th_grade,1898,20851,2534,1430,272,1068,1755,1161,1427,210,8,13117,736
2005-2009,"B15002_10_12th_grade,_no_diploma",2889,17316,2638,835,556,575,1057,433,570,273,21,10129,403
2005-2009,"B15002_11_high_school_graduate,_ged,_or_alternative",32968,165839,36958,13029,4603,9124,16394,10171,10878,5027,664,124203,6209
2005-2009,"B15002_12_some_college,_less_than_1_year",11457,34145,11279,2913,1351,1744,3566,2183,2963,1740,140,33271,1433
2005-2009,"B15002_13_some_college,_1_or_more_years,_no_degree",34139,92089,35161,7454,2991,3938,7366,4558,5694,3573,478,83772,3147
2005-2009,B15002_14_associate's_degree,16134,37821,12867,2893,942,1198,2707,1845,2422,1575,179,34209,930
2005-2009,B15002_15_bachelor's_degree,76911,130808,52551,5777,2938,2907,5579,3009,4650,5518,523,104187,1931
2005-2009,B15002_16_master's_degree,30686,47448,16394,1694,841,1001,1584,920,1758,1869,62,35526,532
2005-2009,B15002_17_professional_school_degree,5882,18378,2316,584,225,137,382,354,464,586,28,9114,188
2005-2009,B15002_18_doctorate_degree,4944,7844,2596,267,157,268,340,70,362,385,0,5258,102
2005-2009,B15002_19_female,237139,737863,195351,44520,17952,27060,48450,30692,35274,23237,2576,540728,18711
2005-2009,B15002_20_no_schooling_completed,1349,12451,1229,272,37,213,435,271,197,276,0,6595,150
2005-2009,B15002_21_nursery_to_4th_grade,1253,14422,1122,285,108,144,321,288,151,211,30,5214,123
2005-2009,B15002_22_5th_and_6th_grade,2992,33287,2609,1078,354,438,687,455,575,251,1,14623,419
2005-2009,B15002_23_7th_and_8th_grade,2486,20453,2251,1062,191,717,1549,857,715,293,84,10662,456
2005-2009,B15002_24_9th_grade,2029,29390,3336,1004,321,741,1266,1117,795,201,71,12987,639
2005-2009,B15002_25_10th_grade,2701,19443,2684,1756,689,913,1798,1123,1140,235,117,11694,696
2005-2009,B15002_26_11th_grade,2505,20032,2328,1297,455,1163,1353,876,1333,355,134,13162,515
2005-2009,"B15002_27_12th_grade,_no_diploma",2295,15372,2132,823,455,600,959,531,630,362,0,9919,304
2005-2009,"B15002_28_high_school_graduate,_ged,_or_alternative",41437,175525,43390,14393,4965,9335,17308,10581,10983,6369,920,140143,7092
2005-2009,"B15002_29_some_college,_less_than_1_year",15775,47379,14488,3601,2062,2355,4090,2428,3212,1760,191,43453,1630
2005-2009,"B15002_30_some_college,_1_or_more_years,_no_degree",39618,107660,35709,7101,3357,4351,8213,5259,5931,4196,321,89255,2670
2005-2009,B15002_31_associate's_degree,18814,43178,13742,3221,1233,1663,2874,2258,2608,1459,183,36878,1109
2005-2009,B15002_32_bachelor's_degree,73091,135507,49819,6259,2761,2798,5732,3330,5152,5357,393,105547,2101
2005-2009,B15002_33_master's_degree,25228,48119,16797,1952,759,1362,1457,1012,1467,1435,110,32131,588
2005-2009,B15002_34_professional_school_degree,3752,10917,2208,352,141,79,227,278,262,332,7,5418,155
2005-2009,B15002_35_doctorate_degree,1814,4728,1507,64,64,188,181,28,123,145,14,3047,64
2005-2009,B19001_1_total,255800,832734,202351,46407,17493,29273,48389,28415,35055,23113,2602,605708,18149
2005-2009,"B19001_2_less_than_$10,000",8304,61081,7367,2212,994,2770,2474,1660,2392,617,242,35974,815
2005-2009,"B19001_3_$10,000_to_$14,999",5380,42560,5992,1949,849,2138,2304,1411,1583,431,215,27494,896
2005-2009,"B19001_4_$15,000_to_$19,999",6577,49047,6380,2474,669,2027,2342,1050,1602,333,155,28297,828
2005-2009,"B19001_5_$20,000_to_$24,999",7994,52386,7710,2268,1121,1673,2538,1455,1476,585,66,30483,689
2005-2009,"B19001_6_$25,000_to_$29,999",8841,53650,7871,2022,1094,2067,2520,1404,1489,489,132,32625,808
2005-2009,"B19001_7_$30,000_to_$34,999",8291,50377,8959,2113,741,1516,2710,1602,1435,743,118,31727,1000
2005-2009,"B19001_8_$35,000_to_$39,999",8976,45948,8442,2064,1062,1600,2654,1349,1518,809,154,30394,836
2005-2009,"B19001_9_$40,000_to_$44,999",10595,44155,8697,2110,954,1431,2776,1451,1408,701,111,31642,855
2005-2009,"B19001_10_$45,000_to_$49,999",9555,41204,8239,1872,793,1308,2233,1400,1477,1063,147,27567,1132
2005-2009,"B19001_11_$50,000_to_$59,999",18164,70160,16711,4574,1655,2433,4332,2296,2701,1918,224,53017,1878
2005-2009,"B19001_12_$60,000_to_$74,999",25451,79388,21674,5109,1765,2753,5959,3339,4094,3117,252,62980,2253
2005-2009,"B19001_13_$75,000_to_$99,999",38155,87707,31113,7401,2209,3410,6830,4584,5498,4100,231,78931,2743
2005-2009,"B19001_14_$100,000_to_$124,999",32120,54191,22143,4381,1244,1957,3574,2336,3314,2967,282,52628,1498
2005-2009,"B19001_15_$125,000_to_$149,999",20473,30829,14274,2652,738,934,2138,1369,1772,1929,78,28626,949
2005-2009,"B19001_16_$150,000_to_$199,999",23501,30100,14731,1829,907,677,1786,968,1790,1740,106,28594,517
2005-2009,"B19001_17_$200,000_or_more",23423,39951,12048,1377,698,579,1219,741,1506,1571,89,24729,452
2005-2009,B19013_1_median_household_income_in_the_past_12_months_(in_2009_inflation-adjusted_dollars),80545,47059,70002,58809,52870,42894,53444,55857,61415,80193,48566,54647,55703
2005-2009,B25001_1_total,273312,934468,219299,49917,20660,34667,53017,31232,38345,24608,3100,669015,21024
2005-2009,B25003_1_total,255800,832734,202351,46407,17493,29273,48389,28415,35055,23113,2602,605708,18149
2005-2009,B25003_2_owner_occupied,181809,456160,134893,35459,13860,20831,37245,21825,27980,19610,1995,383418,14888
2005-2009,B25003_3_renter_occupied,73991,376574,67458,10948,3633,8442,11144,6590,7075,3503,607,222290,3261
2005-2009,B25024_1_total,273312,934468,219299,49917,20660,34667,53017,31232,38345,24608,3100,669015,21024
2005-2009,"B25024_2_1,_detached",194025,514028,146755,38663,13743,22010,35267,22739,26541,21614,2333,447111,13374
2005-2009,"B25024_3_1,_attached",6745,36988,3581,485,352,291,485,325,574,418,7,20402,315
2005-2009,B25024_4_2,1218,13369,1603,1479,247,628,1269,414,851,163,16,13837,284
2005-2009,B25024_5_3_or_4,6596,38914,5542,1066,323,659,1294,900,639,184,52,25558,309
2005-2009,B25024_6_5_to_9,17093,91591,13028,1122,224,1635,802,732,719,612,66,44296,189
2005-2009,B25024_7_10_to_19,23252,100082,19319,1017,160,1040,411,390,422,465,32,52977,38
2005-2009,B25024_8_20_to_49,7686,58077,13373,249,96,574,263,172,175,110,6,25568,115
2005-2009,B25024_9_50_or_more,9959,65226,5616,393,162,644,378,143,302,35,27,25883,82
2005-2009,B25024_10_mobile_home,6717,15532,10385,5388,5264,7183,12725,5393,7991,1007,561,12895,6223
2005-2009,"B25024_11_boat,_rv,_van,_etc.",21,661,97,55,89,3,123,24,131,0,0,488,95
2005-2009,B25077_1_median_value_(dollars),197400,128800,170900,134100,141000,88800,109700,125100,138900,183200,137200,131500,116200
2005-2009,B25034_1_total,273312,934468,219299,49917,20660,34667,53017,31232,38345,24608,3100,669015,21024
2005-2009,B25034_2_built_2005_or_later,23806,25161,15232,3343,1166,1541,3017,2823,2549,3246,103,37221,891
2005-2009,B25034_3_built_2000_to_2004,58596,79886,49192,8819,3243,3916,9201,6926,7475,6928,211,92106,3202
2005-2009,B25034_4_built_1990_to_1999,89278,105655,57076,10333,4466,5745,11274,6165,8006,5432,758,100496,5357
2005-2009,B25034_5_built_1980_to_1989,58340,181865,53774,10024,5151,6550,9883,5857,8032,4836,679,144484,3566
2005-2009,B25034_6_built_1970_to_1979,27376,190819,26778,6068,4402,5547,8824,4181,5165,2506,349,109453,3281
2005-2009,B25034_7_built_1960_to_1969,8085,144137,8808,3371,827,4712,4277,2083,2161,591,261,67499,1722
2005-2009,B25034_8_built_1950_to_1959,3146,122121,4488,3227,612,2961,2789,1071,2283,449,365,65786,1149
2005-2009,B25034_9_built_1940_to_1949,1674,44444,1677,1476,345,1390,1198,637,966,311,70,25803,626
2005-2009,B25034_10_built_1939_or_earlier,3011,40380,2274,3256,448,2305,2554,1489,1708,309,304,26167,1230
2005-2009,B03002_1_total,729514,2383126,611842,142348,49360,82204,150077,95993,108324,72814,7730,1704943,57615
2005-2009,B03002_2_not_hispanic_or_latino,628547,1484359,510345,110249,44518,72735,126236,80292,97846,61354,6469,1273363,49224
2005-2009,B03002_3_white_alone,488496,859443,417471,93794,42604,63175,116986,67749,92521,54407,6359,932550,47035
2005-2009,B03002_4_black_or_african_american_alone,53316,475832,44451,13187,310,7283,5277,9951,2346,4176,24,231983,763
2005-2009,B03002_5_american_indian_and_alaska_native_alone,3132,5973,1860,620,383,425,967,476,525,182,0,6211,433
2005-2009,B03002_6_asian_alone,70932,106758,33672,880,229,606,1070,735,555,1719,0,71444,226
2005-2009,B03002_7_native_hawaiian_and_other_pacific_islander_alone,545,1699,413,91,0,204,245,61,0,169,0,3027,98
2005-2009,B03002_8_some_other_race_alone,1905,6104,1006,195,367,132,34,99,106,50,28,4820,7
2005-2009,B03002_9_two_or_more_races,10221,28550,11472,1482,625,910,1657,1221,1793,651,58,23328,662
2005-2009,B03002_10_two_races_including_some_other_race,555,2302,459,31,150,35,125,61,162,0,0,1457,10
2005-2009,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",9666,26248,11013,1451,475,875,1532,1160,1631,651,58,21871,652
2005-2009,B03002_12_hispanic_or_latino,100967,898767,101497,32099,4842,9469,23841,15701,10478,11460,1261,431580,8391
2005-2009,B03002_13_white_alone,75900,543542,67416,18263,1842,6229,18611,10932,6526,6255,328,243981,5154
2005-2009,B03002_14_black_or_african_american_alone,751,5431,814,139,3,98,6,167,0,63,0,3321,0
2005-2009,B03002_15_american_indian_and_alaska_native_alone,290,5996,450,994,34,23,207,9,61,295,31,2080,32
2005-2009,B03002_16_asian_alone,343,1039,89,29,34,0,10,0,0,33,0,900,45
2005-2009,B03002_17_native_hawaiian_and_other_pacific_islander_alone,0,211,0,0,0,0,0,20,0,0,0,139,0
2005-2009,B03002_18_some_other_race_alone,19010,324083,21831,11723,2885,2878,4438,3905,3437,4565,902,169439,2636
2005-2009,B03002_19_two_or_more_races,4673,18465,10897,951,44,241,569,668,454,249,0,11720,524
2005-2009,B03002_20_two_races_including_some_other_race,3728,13552,3268,723,44,150,530,548,369,159,0,8272,263
2005-2009,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",945,4913,7629,228,0,91,39,120,85,90,0,3448,261
2005-2009,B11005_1_total,255800,832734,202351,46407,17493,29273,48389,28415,35055,23113,2602,605708,18149
2005-2009,B11005_2_households_with_one_or_more_people_under_18_years,109500,323413,84702,21107,5032,10140,19622,11968,13438,10981,726,244065,7045
2005-2009,B11005_3_family_households,108987,321356,83971,20816,5032,10012,19361,11955,13324,10850,715,241740,6999
2005-2009,B11005_4_married-couple_family,86728,203893,63367,15199,3742,6776,13854,8195,9974,8594,494,165089,5529
2005-2009,B11005_5_other_family,22259,117463,20604,5617,1290,3236,5507,3760,3350,2256,221,76651,1470
2005-2009,"B11005_6_male_householder,_no_wife_present",5877,27347,5608,1331,440,742,1597,923,1023,538,41,17976,408
2005-2009,"B11005_7_female_householder,_no_husband_present",16382,90116,14996,4286,850,2494,3910,2837,2327,1718,180,58675,1062
2005-2009,B11005_8_nonfamily_households,513,2057,731,291,0,128,261,13,114,131,11,2325,46
2005-2009,B11005_9_male_householder,376,1475,652,208,0,107,229,13,87,105,11,1702,40
2005-2009,B11005_10_female_householder,137,582,79,83,0,21,32,0,27,26,0,623,6
2005-2009,B11005_11_households_with_no_people_under_18_years,146300,509321,117649,25300,12461,19133,28767,16447,21617,12132,1876,361643,11104
2005-2009,B11005_12_family_households,76900,224065,58278,15906,7681,10258,17720,10640,13601,8250,1028,176416,7037
2005-2009,B11005_13_married-couple_family,67264,168025,49945,13915,6857,8853,15348,9250,11825,7453,983,144099,6043
2005-2009,B11005_14_other_family,9636,56040,8333,1991,824,1405,2372,1390,1776,797,45,32317,994
2005-2009,"B11005_15_male_householder,_no_wife_present",3941,21082,3035,765,235,515,1091,428,562,325,0,11515,367
2005-2009,"B11005_16_female_householder,_no_husband_present",5695,34958,5298,1226,589,890,1281,962,1214,472,45,20802,627
2005-2009,B11005_17_nonfamily_households,69400,285256,59371,9394,4780,8875,11047,5807,8016,3882,848,185227,4067
2005-2009,B11005_18_male_householder,33188,142474,28932,4255,2159,4323,5074,2766,3830,1716,385,91337,2084
2005-2009,B11005_19_female_householder,36212,142782,30439,5139,2621,4552,5973,3041,4186,2166,463,93890,1983
2005-2009,B11016_1_total,255800,832734,202351,46407,17493,29273,48389,28415,35055,23113,2602,605708,18149
2005-2009,B11016_2_family_households,185887,545421,142249,36722,12713,20270,37081,22595,26925,19100,1743,418156,14036
2005-2009,B11016_3_2-person_household,69100,196711,51938,13391,6789,9176,14935,9059,11662,7065,995,159093,6039
2005-2009,B11016_4_3-person_household,42929,126154,34190,8776,2344,4145,8097,5468,6178,4605,376,96787,2991
2005-2009,B11016_5_4-person_household,46259,117281,34504,8249,2148,3907,7489,4396,5482,4244,292,90982,2742
2005-2009,B11016_6_5-person_household,18555,62567,14425,3794,1128,2055,4274,2218,2476,2162,27,44785,1621
2005-2009,B11016_7_6-person_household,6245,25810,4719,1528,177,708,1428,806,729,619,30,16603,424
2005-2009,B11016_8_7-or-more_person_household,2799,16898,2473,984,127,279,858,648,398,405,23,9906,219
2005-2009,B11016_9_nonfamily_households,69913,287313,60102,9685,4780,9003,11308,5820,8130,4013,859,187552,4113
2005-2009,B11016_10_1-person_household,58245,239660,47154,8145,4078,7409,9256,5039,6920,3124,769,156075,3539
2005-2009,B11016_11_2-person_household,10086,40358,10303,1174,638,1350,1582,754,1072,745,79,26309,528
2005-2009,B11016_12_3-person_household,1207,5000,1830,232,42,124,245,13,88,88,11,3442,6
2005-2009,B11016_13_4-person_household,348,1670,671,120,12,86,111,14,43,36,0,1275,40
2005-2009,B11016_14_5-person_household,11,378,123,14,0,17,74,0,7,20,0,354,0
2005-2009,B11016_15_6-person_household,9,167,13,0,0,0,40,0,0,0,0,73,0
2005-2009,B11016_16_7-or-more_person_household,7,80,8,0,10,17,0,0,0,0,0,24,0
