"","CBSA","year","total_population","less_than_18","18_to_29","30_to_44","45_to_59","above_59","white_alone","AA_alone","hispanic_or_latino","household_size_1","household_size_2","household_size_3_to_4","household_size_more_than_4","household_with_kids","family_household_without_kids","non_family_household_without_kids","level","NAME","FIPS","county_name","LSAD"
"129",47900,"2009",206405,33433,52496,56886,37129,26461,147230,16725,34484,39015,28478,18464,4346,18125,21138,51040,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"130",47900,"2013",214861,34472,53048,60489,38258,28594,153109,17966,32809,38256,30962,20580,4656,19391,24192,50871,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"131",47900,"2017",229534,39702,49680,66185,41266,32701,164102,20278,35687,40110,33829,23238,5133,22849,25026,54435,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"132",47900,"2018",231803,40777,49492,66174,41391,33969,165609,20777,36180,40872,34483,24475,4886,23638,25032,56046,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"133",47900,"2000",189453,30944,45310,55348,34896,22955,130794,17856,35212,35236,27258,18034,5946,16985,22918,46571,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"134",47900,"1990",170936,25765,43951,52470,23432,25318,130745,17947,23023,30808,26078,17192,4667,14566,23256,40923,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"135",47900,"1980",152599,24945,41974,36844,23230,25606,133417,14047,8781,28928,24004,14963,3829,13766,22288,35670,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"136",47900,"1970",174284,41870,45363,29708,35094,22249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51013","Arlington County, VA","County or equivalent"
"137",47900,"2009",14359,3149,1866,2817,3410,3117,12979,861,506,1420,2092,1621,354,1488,2179,1820,"county_level",NA,"51043","Clarke County, VA","County or equivalent"
"138",47900,"2013",14191,3142,1459,2450,3698,3442,12860,753,514,1090,2270,1702,518,1759,2348,1473,"county_level",NA,"51043","Clarke County, VA","County or equivalent"
"139",47900,"2017",14331,3004,1730,2261,3670,3666,12800,703,685,1550,2148,1402,468,1583,2210,1775,"county_level",NA,"51043","Clarke County, VA","County or equivalent"
"140",47900,"2018",14365,3023,1756,2145,3602,3839,12902,687,748,1604,2039,1487,509,1663,2167,1809,"county_level",NA,"51043","Clarke County, VA","County or equivalent"
"141",47900,"2000",12652,2951,1261,3139,2833,2468,11635,854,197,1191,1825,1505,429,1507,2014,1429,"county_level",NA,"51043","Clarke County, VA","County or equivalent"
"142",47900,"1990",12101,2770,1930,3091,2096,2214,10968,1064,29,756,1444,1461,524,1331,1912,942,"county_level",NA,"51043","Clarke County, VA","County or equivalent"
"143",47900,"1980",9965,2711,1755,1958,1610,1931,8789,1144,27,729,1081,1205,470,1276,1366,843,"county_level",NA,"51043","Clarke County, VA","County or equivalent"
"144",47900,"1970",8102,2671,1234,1521,1367,1309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51043","Clarke County, VA","County or equivalent"
"145",47900,"2009",44923,11657,6675,10457,9017,7117,34509,7274,3278,3345,5367,5712,2166,6653,5821,4116,"county_level",NA,"51047","Culpeper County, VA","County or equivalent"
"146",47900,"2013",47330,12114,6534,9620,10365,8697,36347,7071,4169,3349,5499,5376,1815,6100,5894,4045,"county_level",NA,"51047","Culpeper County, VA","County or equivalent"
"147",47900,"2017",49795,12568,6740,9532,10758,10197,38337,7150,4826,3431,5548,5461,2397,6546,6162,4129,"county_level",NA,"51047","Culpeper County, VA","County or equivalent"
"148",47900,"2018",50450,12705,6780,9603,10639,10723,38439,6983,5180,3562,5520,5295,2526,6459,6154,4290,"county_level",NA,"51047","Culpeper County, VA","County or equivalent"
"149",47900,"2000",34262,8764,4790,8863,6255,5590,26868,5880,1042,2503,4102,4204,1342,4267,4761,3123,"county_level",NA,"51047","Culpeper County, VA","County or equivalent"
"150",47900,"1990",27791,7432,4773,7056,4067,4463,22540,4789,191,1822,3062,3651,1192,3724,3744,2259,"county_level",NA,"51047","Culpeper County, VA","County or equivalent"
"151",47900,"1980",22620,6643,4224,4466,3304,3983,18086,4685,196,1401,2215,2815,1147,3114,2921,1543,"county_level",NA,"51047","Culpeper County, VA","County or equivalent"
"152",47900,"1970",18218,6446,2872,3042,2922,2936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51047","Culpeper County, VA","County or equivalent"
"153",47900,"2009",1012751,253279,153555,229242,231664,145011,675361,93552,141343,90592,114133,125406,38108,133185,123529,111525,"county_level",NA,"51059","Fairfax County, VA","County or equivalent"
"154",47900,"2013",1101071,265972,166153,246721,246602,175623,698963,101532,173532,88693,122680,134795,43740,144247,133782,111879,"county_level",NA,"51059","Fairfax County, VA","County or equivalent"
"155",47900,"2017",1142004,271008,168205,249801,247893,205097,713926,110385,184595,87948,123480,138165,43787,144257,137784,111339,"county_level",NA,"51059","Fairfax County, VA","County or equivalent"
"156",47900,"2018",1143529,270503,168901,247717,245059,211349,708761,111026,185551,88669,123063,138771,43944,144313,138481,111653,"county_level",NA,"51059","Fairfax County, VA","County or equivalent"
"157",47900,"2000",969749,245730,140245,262566,211065,110143,676295,81744,106862,75006,113474,119835,42964,130159,122677,98443,"county_level",NA,"51059","Fairfax County, VA","County or equivalent"
"158",47900,"1990",818584,199595,159176,238011,141695,80107,666349,63360,51340,54349,95713,110451,32430,108932,106992,77019,"county_level",NA,"51059","Fairfax County, VA","County or equivalent"
"159",47900,"1980",596901,175228,118040,157987,99548,46098,547802,35430,19983,34872,62173,81588,26975,92161,67574,45873,"county_level",NA,"51059","Fairfax County, VA","County or equivalent"
"160",47900,"1970",455021,179329,80120,99030,73652,22890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51059","Fairfax County, VA","County or equivalent"
"161",47900,"2009",66330,17209,8424,14083,15692,10922,57060,5547,3520,4917,7914,7425,2449,8110,8575,6020,"county_level",NA,"51061","Fauquier County, VA","County or equivalent"
"162",47900,"2013",66015,16300,8090,12197,15917,13511,57759,5088,4344,4750,8184,7577,2619,7993,9260,5877,"county_level",NA,"51061","Fauquier County, VA","County or equivalent"
"163",47900,"2017",68406,16238,8937,12065,15899,15267,59448,5139,5141,5053,8319,7965,2644,8425,9442,6114,"county_level",NA,"51061","Fauquier County, VA","County or equivalent"
"164",47900,"2018",69115,16319,9079,12032,16074,15611,60069,5054,5498,5235,8547,7701,2850,8509,9471,6353,"county_level",NA,"51061","Fauquier County, VA","County or equivalent"
"165",47900,"2000",55139,14802,6202,14098,11852,8185,48643,4646,1131,3706,6887,6935,2361,7230,7978,4681,"county_level",NA,"51061","Fauquier County, VA","County or equivalent"
"166",47900,"1990",48741,13121,8418,12939,7992,6271,42584,5411,688,2497,5347,6530,2110,6427,6903,3154,"county_level",NA,"51061","Fauquier County, VA","County or equivalent"
"167",47900,"1980",35889,10767,6888,7971,5441,4822,30195,5664,190,1805,3298,4586,2014,5126,4457,2120,"county_level",NA,"51061","Fauquier County, VA","County or equivalent"
"168",47900,"1970",26375,9720,4318,4663,4089,3585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51061","Fauquier County, VA","County or equivalent"
"169",47900,"2009",277465,82799,35808,80630,53004,25224,202994,21654,28026,20703,25238,34011,11076,40797,25668,24563,"county_level",NA,"51107","Loudoun County, VA","County or equivalent"
"170",47900,"2013",326477,98726,39318,85615,67975,34843,226884,23821,41283,18297,30079,43174,15447,52171,31222,23604,"county_level",NA,"51107","Loudoun County, VA","County or equivalent"
"171",47900,"2017",374558,108763,45589,93091,80306,46809,250975,28333,50426,20966,34119,48841,17373,57900,36669,26730,"county_level",NA,"51107","Loudoun County, VA","County or equivalent"
"172",47900,"2018",385143,110986,47247,94463,82415,50032,254787,28735,52119,21428,34748,51659,17474,60066,37724,27519,"county_level",NA,"51107","Loudoun County, VA","County or equivalent"
"173",47900,"2000",169599,50436,21917,53802,29876,13568,139951,11541,10117,11079,18877,22632,7333,25790,19484,14647,"county_level",NA,"51107","Loudoun County, VA","County or equivalent"
"174",47900,"1990",86129,23250,16730,25310,13438,7401,77053,6293,2177,5066,10011,12106,3440,12335,11236,7052,"county_level",NA,"51107","Loudoun County, VA","County or equivalent"
"175",47900,"1980",57427,18856,10237,15420,7329,5585,52304,5053,834,2785,5145,7933,2882,9328,5981,3436,"county_level",NA,"51107","Loudoun County, VA","County or equivalent"
"176",47900,"1970",37150,14700,5689,7629,5037,4095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51107","Loudoun County, VA","County or equivalent"
"177",47900,"2009",360910,107074,57231,89770,71275,35560,219690,69860,66648,22173,35847,45997,19740,57572,37891,28294,"county_level",NA,"51153","Prince William County, VA","County or equivalent"
"178",47900,"2013",416668,119246,65777,98392,84416,48837,255662,84675,86314,23233,36833,49334,23042,62031,41415,28996,"county_level",NA,"51153","Prince William County, VA","County or equivalent"
"179",47900,"2017",450763,124872,68783,103423,92946,60739,265523,94217,101042,25703,37824,51992,23787,63419,44804,31083,"county_level",NA,"51153","Prince William County, VA","County or equivalent"
"180",47900,"2018",456749,125952,69361,103651,94589,63196,263741,94758,105050,25954,38863,51599,24057,62914,46061,31498,"county_level",NA,"51153","Prince William County, VA","County or equivalent"
"181",47900,"2000",280813,85432,45077,78818,51073,20413,193069,52873,27266,16101,27678,36699,14184,42506,30918,21238,"county_level",NA,"51153","Prince William County, VA","County or equivalent"
"182",47900,"1990",215686,65727,46082,63626,29798,10453,180042,24942,9403,9095,19398,31579,10181,34408,22725,13120,"county_level",NA,"51153","Prince William County, VA","County or equivalent"
"183",47900,"1980",144703,52400,30879,40564,15336,5524,131037,12111,3345,4644,10456,20745,7980,26132,11440,6253,"county_level",NA,"51153","Prince William County, VA","County or equivalent"
"184",47900,"1970",111102,49195,24358,24256,8889,4404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51153","Prince William County, VA","County or equivalent"
"185",47900,"2009",7171,1497,842,1221,1877,1734,6486,405,91,632,1340,974,130,902,1316,858,"county_level",NA,"51157","Rappahannock County, VA","County or equivalent"
"186",47900,"2013",7448,1416,792,1157,1879,2204,6860,338,240,951,1260,868,182,843,1323,1095,"county_level",NA,"51157","Rappahannock County, VA","County or equivalent"
"187",47900,"2017",7359,1338,870,1062,1622,2467,6721,280,261,875,1285,724,247,727,1427,977,"county_level",NA,"51157","Rappahannock County, VA","County or equivalent"
"188",47900,"2018",7332,1310,901,1011,1589,2521,6617,354,263,899,1128,702,247,704,1257,1015,"county_level",NA,"51157","Rappahannock County, VA","County or equivalent"
"189",47900,"2000",6983,1575,732,1513,1773,1390,6496,348,144,648,1065,838,245,824,1200,772,"county_level",NA,"51157","Rappahannock County, VA","County or equivalent"
"190",47900,"1990",6622,1485,1030,1675,1232,1200,6079,495,47,494,915,886,250,815,1136,594,"county_level",NA,"51157","Rappahannock County, VA","County or equivalent"
"191",47900,"1980",6093,1632,1082,1258,993,1128,5404,689,0,424,685,718,323,770,884,496,"county_level",NA,"51157","Rappahannock County, VA","County or equivalent"
"192",47900,"1970",5199,1850,742,816,905,886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51157","Rappahannock County, VA","County or equivalent"
"193",47900,"2009",118512,34196,17407,27171,24760,14978,91688,17881,7538,7000,13275,14748,5667,18445,13454,8791,"county_level",NA,"51177","Spotsylvania County, VA","County or equivalent"
"194",47900,"2013",124319,33688,17963,25695,27453,19520,93110,19556,9737,7074,13582,14846,6207,17649,15452,8608,"county_level",NA,"51177","Spotsylvania County, VA","County or equivalent"
"195",47900,"2017",130159,33157,19313,25174,29227,23288,94968,20643,11706,8155,13888,15318,5918,16875,16570,9834,"county_level",NA,"51177","Spotsylvania County, VA","County or equivalent"
"196",47900,"2018",131412,33102,19430,25213,29073,24594,95095,21165,12308,7993,14351,15453,5880,16878,16987,9812,"county_level",NA,"51177","Spotsylvania County, VA","County or equivalent"
"197",47900,"2000",90395,27036,12184,23434,17214,10527,74930,10725,2351,5145,9927,12067,4120,13265,11463,6531,"county_level",NA,"51177","Spotsylvania County, VA","County or equivalent"
"198",47900,"1990",57403,17524,9877,16241,7769,5992,50221,6193,926,2502,5608,8147,2721,8923,6747,3308,"county_level",NA,"51177","Spotsylvania County, VA","County or equivalent"
"199",47900,"1980",34435,12062,6735,7998,4212,3428,29075,5092,300,1386,2980,4510,1940,5625,3545,1646,"county_level",NA,"51177","Spotsylvania County, VA","County or equivalent"
"200",47900,"1970",16424,6207,2532,3044,2631,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51177","Spotsylvania County, VA","County or equivalent"
"201",47900,"2009",120436,36326,18363,28700,25458,11589,88161,19970,9601,6049,11955,15565,6008,18983,13409,7185,"county_level",NA,"51179","Stafford County, VA","County or equivalent"
"202",47900,"2013",131885,37038,21533,27582,30146,15586,93262,22645,12745,6352,13213,16709,5904,18928,15468,7782,"county_level",NA,"51179","Stafford County, VA","County or equivalent"
"203",47900,"2017",141159,37546,23156,28852,31834,19771,97462,23940,16515,6523,14330,17079,7413,20089,17011,8245,"county_level",NA,"51179","Stafford County, VA","County or equivalent"
"204",47900,"2018",144012,38029,23566,29498,31943,20976,97930,24870,17782,6941,14753,17235,7399,20388,17132,8808,"county_level",NA,"51179","Stafford County, VA","County or equivalent"
"205",47900,"2000",92446,29163,12540,25932,16965,7846,75802,10998,3181,4179,8849,12609,4499,14328,10164,5644,"county_level",NA,"51179","Stafford County, VA","County or equivalent"
"206",47900,"1990",61236,18004,12607,16454,8831,5340,55684,4230,1291,2354,5621,8711,2757,9190,7121,3132,"county_level",NA,"51179","Stafford County, VA","County or equivalent"
"207",47900,"1980",40470,13400,8126,10052,5354,3538,37554,2888,550,1376,3220,5470,2173,6656,4006,1577,"county_level",NA,"51179","Stafford County, VA","County or equivalent"
"208",47900,"1970",24587,8925,5679,4570,3267,2146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51179","Stafford County, VA","County or equivalent"
"209",47900,"2009",36087,8700,5391,7795,8146,6055,33005,1824,1089,3392,5102,4082,1062,4637,4621,4380,"county_level",NA,"51187","Warren County, VA","County or equivalent"
"210",47900,"2013",37836,8940,5233,7455,8945,7263,34562,1554,1379,3366,5438,4266,1317,4718,5455,4214,"county_level",NA,"51187","Warren County, VA","County or equivalent"
"211",47900,"2017",38991,8765,5768,7035,8933,8490,35339,1435,1622,3415,5005,4346,1424,4646,5418,4126,"county_level",NA,"51187","Warren County, VA","County or equivalent"
"212",47900,"2018",39449,8753,6007,6933,9149,8607,35447,1492,1716,3793,4873,4179,1534,4585,5285,4509,"county_level",NA,"51187","Warren County, VA","County or equivalent"
"213",47900,"2000",31584,8081,4232,7853,6186,5232,29024,1835,366,2910,4128,3940,1147,4072,4478,3575,"county_level",NA,"51187","Warren County, VA","County or equivalent"
"214",47900,"1990",26142,6386,4843,6201,4213,4499,24732,1191,281,2176,3359,3477,928,3328,4036,2576,"county_level",NA,"51187","Warren County, VA","County or equivalent"
"215",47900,"1980",21200,5792,3973,4229,3383,3823,20100,1228,226,1594,2587,2723,941,2982,3058,1805,"county_level",NA,"51187","Warren County, VA","County or equivalent"
"216",47900,"1970",15301,4870,2582,2503,2916,2430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51187","Warren County, VA","County or equivalent"
"217",47900,"2009",142131,25230,28808,40579,25848,21666,91633,31039,19746,29207,20326,11142,2185,12170,15952,34738,"county_level",NA,"51510","Alexandria city, VA","County or equivalent"
"218",47900,"2013",143684,24911,27072,43283,27588,20830,92041,31291,23542,28088,20967,13164,3150,13887,17060,34422,"county_level",NA,"51510","Alexandria city, VA","County or equivalent"
"219",47900,"2017",154710,27938,25075,47905,29976,23816,96411,34123,25900,28751,21693,14565,3654,15676,17565,35422,"county_level",NA,"51510","Alexandria city, VA","County or equivalent"
"220",47900,"2018",156505,28663,24955,47994,30283,24610,97091,34246,26247,29189,22415,14674,3701,15659,18370,35950,"county_level",NA,"51510","Alexandria city, VA","County or equivalent"
"221",47900,"2000",128283,21532,27713,39941,23756,15341,76775,28444,18747,26880,19590,11796,3702,12096,16057,33815,"county_level",NA,"51510","Alexandria city, VA","County or equivalent"
"222",47900,"1990",111183,16977,28460,34457,16037,15252,76907,24557,10526,22297,17656,10478,2818,9313,15125,28811,"county_level",NA,"51510","Alexandria city, VA","County or equivalent"
"223",47900,"1980",103217,18849,28438,26487,15846,13597,77544,23396,4251,20071,16283,10139,2745,10142,14143,24953,"county_level",NA,"51510","Alexandria city, VA","County or equivalent"
"224",47900,"1970",110938,30848,31500,18863,18259,11468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51510","Alexandria city, VA","County or equivalent"
"225",47900,"2009",23369,4741,4229,4855,5226,4318,16933,1244,3181,2258,2845,2446,884,2460,3061,2912,"county_level",NA,"51600","Fairfax city, VA","County or equivalent"
"226",47900,"2013",23027,4844,3887,4834,4973,4489,16228,1154,3705,1829,2894,2973,796,2618,3214,2660,"county_level",NA,"51600","Fairfax city, VA","County or equivalent"
"227",47900,"2017",23580,5133,3778,4801,5181,4687,16104,1145,3985,1871,2716,3096,816,2635,3095,2769,"county_level",NA,"51600","Fairfax city, VA","County or equivalent"
"228",47900,"2018",23865,5426,3840,4835,4966,4798,16461,1099,4039,1836,2720,3088,909,2714,3115,2724,"county_level",NA,"51600","Fairfax city, VA","County or equivalent"
"229",47900,"2000",21498,4313,3783,5504,4299,3599,15742,1008,2906,1879,2856,2449,829,2222,3205,2586,"county_level",NA,"51600","Fairfax city, VA","County or equivalent"
"230",47900,"1990",19622,3665,4848,4777,3368,2964,16802,1021,1356,1497,2679,2537,660,2071,2973,2329,"county_level",NA,"51600","Fairfax city, VA","County or equivalent"
"231",47900,"1980",19390,4916,4835,4357,3524,1758,18224,493,467,1292,2169,2651,797,2750,2367,1792,"county_level",NA,"51600","Fairfax city, VA","County or equivalent"
"232",47900,"1970",21970,8937,3903,4551,3380,1199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51600","Fairfax city, VA","County or equivalent"
"233",47900,"2009",11233,2588,1894,1955,2718,2078,8888,572,1053,1321,1339,1174,296,1407,1237,1486,"county_level",NA,"51610","Falls Church city, VA","County or equivalent"
"234",47900,"2013",12731,3205,1737,2766,2716,2307,9804,678,1190,1615,1424,1638,343,1794,1298,1928,"county_level",NA,"51610","Falls Church city, VA","County or equivalent"
"235",47900,"2017",13843,3442,1687,2890,3164,2660,10938,667,1474,1600,1638,1564,506,1747,1722,1839,"county_level",NA,"51610","Falls Church city, VA","County or equivalent"
"236",47900,"2018",14067,3603,1767,2870,3121,2706,11276,670,1501,1476,1566,1724,496,1870,1668,1724,"county_level",NA,"51610","Falls Church city, VA","County or equivalent"
"237",47900,"2000",10377,2444,1208,2550,2507,1668,8875,256,892,1520,1421,1229,302,1362,1257,1853,"county_level",NA,"51610","Falls Church city, VA","County or equivalent"
"238",47900,"1990",9578,1847,1414,2798,1647,1872,8533,266,606,1387,1425,1073,285,986,1504,1680,"county_level",NA,"51610","Falls Church city, VA","County or equivalent"
"239",47900,"1980",9515,1767,1976,2183,1768,1821,9180,263,303,1422,1531,1024,288,1012,1576,1677,"county_level",NA,"51610","Falls Church city, VA","County or equivalent"
"240",47900,"1970",10772,3344,1989,1762,2206,1471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51610","Falls Church city, VA","County or equivalent"
"241",47900,"2009",22314,4482,6829,3733,3081,4189,15596,4691,1723,4021,2718,1786,378,1984,2101,4818,"county_level",NA,"51630","Fredericksburg city, VA","County or equivalent"
"242",47900,"2013",25931,5219,8195,4781,4039,3697,16893,6095,2812,3715,3164,2400,500,2889,2281,4609,"county_level",NA,"51630","Fredericksburg city, VA","County or equivalent"
"243",47900,"2017",28135,5850,8266,5441,4465,4113,18127,6326,3007,3781,3463,2582,593,3006,2695,4718,"county_level",NA,"51630","Fredericksburg city, VA","County or equivalent"
"244",47900,"2018",28469,5952,8160,5587,4494,4276,17834,6307,3062,4039,3422,2549,572,2809,2791,4982,"county_level",NA,"51630","Fredericksburg city, VA","County or equivalent"
"245",47900,"2000",19279,3405,6124,3698,2876,3176,14147,3950,919,3175,2701,1814,396,1766,2176,4144,"county_level",NA,"51630","Fredericksburg city, VA","County or equivalent"
"246",47900,"1990",19027,3517,6439,3558,2215,3298,14441,4116,425,2580,2452,1905,532,1866,2300,3303,"county_level",NA,"51630","Fredericksburg city, VA","County or equivalent"
"247",47900,"1980",15322,2967,4769,2365,2242,2979,12230,3043,102,2028,1962,1513,414,1521,2005,2391,"county_level",NA,"51630","Fredericksburg city, VA","County or equivalent"
"248",47900,"1970",14450,3634,4101,2072,2399,2244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"51630","Fredericksburg city, VA","County or equivalent"
"249",47900,"2009",35559,10309,5954,8055,7005,4236,23322,4046,9685,2439,3038,4168,1998,5270,3383,2990,"county_level",NA,"51683","Manassas city, VA","County or equivalent"
"250",47900,"2013",39317,11020,7056,8938,7771,4532,29103,5568,12530,2383,3396,4263,2030,5065,4000,3007,"county_level",NA,"51683","Manassas city, VA","County or equivalent"
"251",47900,"2017",41379,11075,7105,9365,8079,5755,28105,5518,14477,2430,3820,4308,1982,5064,4497,2979,"county_level",NA,"51683","Manassas city, VA","County or equivalent"
"252",47900,"2018",41457,11164,6974,9259,8098,5962,27484,5758,14863,2615,3810,4557,1767,5161,4374,3214,"county_level",NA,"51683","Manassas city, VA","County or equivalent"
"253",47900,"2000",35135,10426,6124,9987,5880,2718,25234,4542,5344,2472,3261,4207,1845,5154,3378,3253,"county_level",NA,"51683","Manassas city, VA","County or equivalent"
"254",47900,"1990",27957,7909,6848,7993,3199,2008,23343,2893,1631,1582,2892,3836,1237,4128,3083,2336,"county_level",NA,"51683","Manassas city, VA","County or equivalent"
"255",47900,"1980",15438,5006,3716,3744,1834,1138,13898,1420,119,776,1417,2141,745,2588,1475,1016,"county_level",NA,"51683","Manassas city, VA","County or equivalent"
"256",47900,"2009",11633,3605,1936,3082,1913,1097,7316,1288,3531,663,1118,1423,582,1712,1219,855,"county_level",NA,"51685","Manassas Park city, VA","County or equivalent"
"257",47900,"2013",15125,4268,2761,3974,2643,1479,10275,2025,5064,957,1067,1679,732,1961,1399,1075,"county_level",NA,"51685","Manassas Park city, VA","County or equivalent"
"258",47900,"2017",16117,4268,2608,4138,3281,1822,10413,2202,6085,977,1152,1588,1061,2162,1342,1274,"county_level",NA,"51685","Manassas Park city, VA","County or equivalent"
"259",47900,"2018",16423,4194,2620,4327,3415,1867,10450,2500,6359,1073,1129,1561,943,2059,1231,1416,"county_level",NA,"51685","Manassas Park city, VA","County or equivalent"
"260",47900,"2000",10290,3178,1904,3150,1397,661,7475,1109,1565,472,902,1260,619,1485,1075,693,"county_level",NA,"51685","Manassas Park city, VA","County or equivalent"
"261",47900,"1990",6734,2138,1683,1683,792,438,5941,501,318,287,607,937,343,992,754,428,"county_level",NA,"51685","Manassas Park city, VA","County or equivalent"
"262",47900,"1980",6524,2505,1762,1203,761,293,6153,286,40,130,404,854,472,1141,523,196,"county_level",NA,"51685","Manassas Park city, VA","County or equivalent"
"263",47900,"2009",50791,12041,7466,11641,11397,8246,45371,3488,1910,4376,6887,6391,1837,6923,6833,5735,"county_level",NA,"54037","Jefferson County, WV","County or equivalent"
"264",47900,"2013",54131,12667,8242,10978,12489,9755,47753,3490,2668,4507,7331,5961,2090,6587,7546,5756,"county_level",NA,"54037","Jefferson County, WV","County or equivalent"
"265",47900,"2017",55673,12692,7914,10650,12501,11916,48726,3669,2972,4771,7500,6336,2201,6997,7691,6120,"county_level",NA,"54037","Jefferson County, WV","County or equivalent"
"266",47900,"2018",56179,12716,7858,10678,12532,12395,48887,3572,3111,4678,7578,6270,2369,6966,7929,6000,"county_level",NA,"54037","Jefferson County, WV","County or equivalent"
"267",47900,"2000",42190,9948,6771,10260,8787,6424,38393,2364,671,3745,5720,5335,1379,5181,6209,4789,"county_level",NA,"54037","Jefferson County, WV","County or equivalent"
"268",47900,"1990",35926,9230,7012,8859,5317,5508,33061,2631,421,2753,4123,4600,1365,4649,4808,3384,"county_level",NA,"54037","Jefferson County, WV","County or equivalent"
"269",47900,"1980",30302,8860,6588,6045,4469,4340,27565,2737,148,1867,3141,3519,1537,4024,3859,2181,"county_level",NA,"54037","Jefferson County, WV","County or equivalent"
"270",47900,"1970",21280,7217,4487,3176,3607,2793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"54037","Jefferson County, WV","County or equivalent"
